"fdc_id","food_code","wweia_category_code","start_date","end_date"
"336174","11511600","1206","2013-01-01","2014-12-31"
"336175","11511610","1208","2013-01-01","2014-12-31"
"336176","11511700","1206","2013-01-01","2014-12-31"
"336177","11512010","1204","2013-01-01","2014-12-31"
"336178","11512020","1208","2013-01-01","2014-12-31"
"336179","11512030","1404","2013-01-01","2014-12-31"
"336180","11512100","1204","2013-01-01","2014-12-31"
"336181","11512110","1208","2013-01-01","2014-12-31"
"336182","11512120","1404","2013-01-01","2014-12-31"
"336183","11513000","1204","2013-01-01","2014-12-31"
"336184","11513100","1202","2013-01-01","2014-12-31"
"336185","11513150","1204","2013-01-01","2014-12-31"
"336186","11513200","1206","2013-01-01","2014-12-31"
"336187","11513300","1208","2013-01-01","2014-12-31"
"336188","11513310","1404","2013-01-01","2014-12-31"
"336189","11513350","1204","2013-01-01","2014-12-31"
"336190","11513355","1202","2013-01-01","2014-12-31"
"336191","11513360","1204","2013-01-01","2014-12-31"
"336192","11513365","1206","2013-01-01","2014-12-31"
"336193","11513370","1208","2013-01-01","2014-12-31"
"336194","11513375","1404","2013-01-01","2014-12-31"
"336195","11513380","1204","2013-01-01","2014-12-31"
"336196","11513381","1202","2013-01-01","2014-12-31"
"336197","11513382","1204","2013-01-01","2014-12-31"
"336198","11513383","1206","2013-01-01","2014-12-31"
"336199","11513384","1208","2013-01-01","2014-12-31"
"336200","11513385","1404","2013-01-01","2014-12-31"
"336201","11513390","1204","2013-01-01","2014-12-31"
"336202","11513391","1202","2013-01-01","2014-12-31"
"336203","11513392","1204","2013-01-01","2014-12-31"
"336204","11513393","1206","2013-01-01","2014-12-31"
"336205","11513394","1208","2013-01-01","2014-12-31"
"336206","11513395","1404","2013-01-01","2014-12-31"
"336207","11513400","1204","2013-01-01","2014-12-31"
"336208","11513500","1202","2013-01-01","2014-12-31"
"336209","11513550","1204","2013-01-01","2014-12-31"
"336210","11513600","1206","2013-01-01","2014-12-31"
"336211","11513700","1208","2013-01-01","2014-12-31"
"336212","11513750","1404","2013-01-01","2014-12-31"
"336213","11513800","1204","2013-01-01","2014-12-31"
"336214","11513801","1202","2013-01-01","2014-12-31"
"336215","11513802","1204","2013-01-01","2014-12-31"
"336216","11513803","1206","2013-01-01","2014-12-31"
"336217","11513804","1208","2013-01-01","2014-12-31"
"336218","11513805","1404","2013-01-01","2014-12-31"
"336219","11513850","1204","2013-01-01","2014-12-31"
"336220","11513851","1202","2013-01-01","2014-12-31"
"336221","11513852","1204","2013-01-01","2014-12-31"
"336222","11513853","1206","2013-01-01","2014-12-31"
"336223","11513854","1208","2013-01-01","2014-12-31"
"336224","11513855","1404","2013-01-01","2014-12-31"
"336225","11514100","1208","2013-01-01","2014-12-31"
"336226","11514110","1202","2013-01-01","2014-12-31"
"336227","11514120","1204","2013-01-01","2014-12-31"
"336228","11514130","1206","2013-01-01","2014-12-31"
