"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acquired"
"57144","330984","Handling loss","","N","1.9","1",""
"57145","330984","Skin and separable fat","","Y","11.5","1",""
"57146","330984","Bone and cartilage","","Y","46.7","1",""
"57147","330984","Total gram weight","","N","142","1",""
"57148","330984","Separable Lean","","N","81.8","1",""
"57149","330985","Edible portion","","N","80.2","1",""
"57150","330985","Handling loss","","N","3.3","1",""
"57151","330985","Skin and separable fat","","Y","11.2","1",""
"57152","330985","Bone and cartilage","","Y","33.1","1",""
"57153","330985","Total gram weight","","N","128","1",""
"57154","330985","Separable Lean","","N","80.2","1",""
"57155","330986","Handling loss","","N","5.6","1",""
"57156","330986","Skin and separable fat","","Y","12.7","1",""
"57157","330986","Bone and cartilage","","Y","40.6","1",""
"57158","330986","Edible portion","","N","72.5","1",""
"57159","330986","Total gram weight","","N","131","1",""
"57160","330986","Separable Lean","","N","72.5","1",""
"57161","330987","Handling loss","","N","5.1","1",""
"57162","330987","Skin and separable fat","","Y","9.8","1",""
"57163","330987","Bone and cartilage","","Y","47.2","1",""
"57164","330987","Edible portion","","N","65.6","1",""
"57165","330987","Total gram weight","","N","128","1",""
"57166","330987","Separable Lean","","N","65.6","1",""
"57167","330988","Handling loss","","N","4.6","1",""
"57168","330988","Skin and separable fat","","Y","17.9","1",""
"57169","330988","Bone and cartilage","","Y","57.8","1",""
"57170","330988","Edible portion","","N","84.5","1",""
"57171","330988","Total gram weight","","N","165","1",""
"57172","330988","Separable Lean","","N","84.5","1",""
"57173","330989","Handling loss","","N","4.8","1",""
"57174","330989","Skin and separable fat","","Y","10.5","1",""
"57175","330989","Bone and cartilage","","Y","45.2","1",""
"57176","330989","Edible portion","","N","81.4","1",""
"57177","330989","Total gram weight","","N","142","1",""
"57178","330989","Separable Lean","","N","81.4","1",""
"57179","330990","Handling loss","","N","2.8","1",""
"57180","330990","Skin and separable fat","","Y","8.2","1",""
"57181","330990","Bone and cartilage","","Y","30.9","1",""
"57182","330990","Edible portion","","N","52.7","1",""
"57183","330990","Total gram weight","","N","94.6","1",""
"57184","330990","Separable Lean","","N","52.7","1",""
"57185","330991","Handling loss","","N","7.4","1",""
