"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"320166","LAURA LYNN 2% MILK","2018-04-24","","GA1","2018-04-16","","E0921","","LOCUST GROVE","INGLES","GA","086854009185"
"320173","GREAT VALUE, 2% MILK","2018-05-07","","TX2","2018-04-23","","124835F254","","GRAPEVINE","WALMART","TX","NFY121QIT"
"320180","SUNNYSIDE FARMS 2% MILK","2018-05-06","","CA3","2018-04-24","","L3PLT067071640","","LIVERMORE","LUCKY","CA","717544204916"
"320186","HARRIS TEETER, 2% MILK","2018-05-03","","NC2","2018-04-23","","3708713543","","CHARLOTTE","HARRIS TEETER","NC","072036639998"
"320192","SE GROCERS, 2% MILK","2018-05-07","","FL1","2018-04-23","","1107IAF11297","","NEW PORT RICKEY","WINN DIXIE","FL","38259101131"
"320198","STOP AND SHOP 2% MILK","2018-05-10","","NY1","2018-04-30","","341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008634"
"320204","LUCERNE 2 % MILK","2018-05-17","","CO1","2018-04-30","","810HB1507","","PEYTON","SAFEWAY","CO","21130070671"
"320211","MARKET PANTRY 2% MILK","2018-05-07","","TN","2018-04-22","","111347125JG","","MEMPHIS","TARGET","TN","085239284025"
"320231","FOOD LION 2% MILK","2018-05-02","","NC1","2018-04-16","","A1425 37102","","ROANOKE RAPIDS","FOOD LION","NC","035826089779"
"320254","BASHAS 2% MILK","2018-05-01","","AZ1","2018-04-15","","1638 TCRN","","TUCSON","BASHAS MARKET","AZ","031903000804"
"320276","DEANS 2% DAIRY PURE","2018-05-09","","IL1","2018-04-23","","17383201435","","CHICAGO","JEWEL","IL","041900076634"
"320299","QFC 2% MILK","2018-05-12","","WA1","2018-04-29","","41452146C2","","SEATTLE","QFC","WA","11110415646"
"320308","HOOD 2% MILK","2018-05-11","","MA","2018-04-29","","9383303","","READING","STOP AND SHOP","MA","44100102936"
"320314","KEMPS SELECT 2% MILK","2018-05-15","","MN","2018-04-29","","271681750","","MINNEAPOLIS","CUB FOODS","MN","41483021779"
"320333","MEIJER 2% MILK","2018-05-22","","MI1","2018-05-07","","JPR26784","","COMMERCE","MEIJER","MI","41250102113"
"320354","Select","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320355","Select","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320358","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320359","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320360","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320361","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320362","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320363","Select","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"320364","Select","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320365","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320366","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320367","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320368","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320369","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320370","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320371","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320372","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320373","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320374","Select","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"320375","Select","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320376","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320377","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320378","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320379","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"321362","","","","CA1","2018-04-16","","HU18028003","","PALMDALE","WALMART","CA","24600010030"
"321368","","","","TX1","2018-04-08","","GS18080008","","HOUSTON","HEB","TX","24600010030"
"321374","","2023-03-16","","CA1","2018-04-16","","1W0758X","","PALMDALE","WALMART","CA","78742353388"
"321380","","2023-03-01","","TX1","2018-04-08","","C8TB26","","HOUSTON","HEB","TX","41220266937"
"321385","","","","NE1","2018-04-15","","HU17257011","","HASTINGS","WALMART","NE","24600010030"
"321390","","","","NC1","2018-04-16","","SS17348043","","ROANOKE RAPIDS","FOOD LION STORE","NC","24600010030"
"321395","","","","IN1","2018-04-15","","ILU18052003","","NEWBURGH","SCHNUCK MARKET","IN","24600010030"
"321401","","","","GA1","2018-04-16","","S518010016","","LOCUST GROVE","INGLES","GA","24600010030"
"321407","","","","GA1","2018-04-16","","2W009 8 X","","LOCUST GROVE","INGLES","GA","86854002964"
"321413","","2022-10-19","","PA1","2018-04-07","","1W292 7 -","","PITTSBURGH","SHOP N SAVE","PA","41303019580"
"321418","","","","CA2","2018-04-08","","RI18030009","","BONITA","VONS MARKET","CA","24600010030"
"321424","","2023-03-15","","NE1","2018-04-15","","3W0748","","HASTINGS","WALMART","NE","78742353388"
"321430","","2023-01-22","","IA","2018-04-07","","3W0228X","","ESTHERVILLE","HYVEE FOOD STORE","IA","75450047493"
"321436","","","","PA1","2018-04-07","","SS17347020","","PITTSBURGH","SHOP N SAVE","PA","24600010030"
"321442","","","","AZ1","2018-04-15","","HU17347028","","TUCSON","BASHAS MARKET","AZ","24600010030"
"321447","","","","IA","2018-04-07","","HU18029014","","ESTHERVILLE","HYVEE FOOD STORE","IA","24600010030"
"321453","","2023-03-26","","NC1","2018-04-16","","3W0858X","","ROANOKE RAPIDS","WALMART","NC","78742353388"
"321459","","2022-06-10","","CA2","2018-04-08","","1W617","","BONITA","VONS MARKET","CA","21130520015"
"321465","","2023-01-01","","AZ1","2018-04-15","","A8TB19","","TUCSON","BASHAS MARKET","AZ","36800510166"
"321476","","2023-02-15","","NJ1","2018-04-08","","1W 0468","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190001057"
"321482","","","","KY1","2018-04-08","","SS18073011","","HARRODSBURG","WALMART","KY","24600010030"
"321488","","2023-02-16","","KY1","2018-04-08","","1W 0478X","","HARRODSBUG","WALMART","KY","78742353388"
"321494","","","","NJ1","2018-04-08","","SS18046018","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24600010030"
"321500","","2023-04-02","","IN1","2018-06-01","","3W0928","","NEWBURGH","WALMART SUPERMARKET","IN","78742353388"
"321902","LUCERNE MILK, 1%","2018-04-23","","CA2","2018-04-08","","1059 J 06-2796","","BONITA","VONS MARKET","CA","021130072446"
"321908","HEB MILK, 1%","2018-04-23","","TX1","2018-04-08","","PT7 A1 481841","","HOUSTON","HEB","TX","041220690756"
"321914","MILK 1% GREAT VALUE","2018-05-02","","NE1","2018-04-15","","03131913","","HASTINGS","WALMART","NE","078742352022"
"321921","ALTA DENA DAIRY PURE, 1% MILK","2018-04-28","","CA1","2018-04-16","","F3 PLT06101246","","PALMDALE","WALMART","CA","41900076818"
"321941","HYVEE MILK 2%","2018-04-24","","IA","2018-04-07","","46-138 2236 092","","ESTHERVILLE","HYVEE FOOD STORE","IA","NFY121QF5"
